product_id,type,year,month,order,start_stock,end_stock
1001,A1,2018,2,1129.0,47.0,70.0
1001,A1,2018,3,3568.0,70.0,91.0
1001,A1,2018,4,4560.0,91.0,110.0
1001,A1,2018,5,7521.0,110.0,47.0
1001,A1,2018,6,7687.0,47.0,41.0
1001,A1,2018,7,8675.0,41.0,186.0
1001,A1,2018,8,8245.0,186.0,109.0
1001,A1,2018,9,7989.0,109.0,88.0
1001,A1,2018,10,7583.0,88.0,129.0
1001,A1,2018,11,8522.0,89.0,128.0
1001,A1,2018,12,9310.0,128.0,110.0
1001,A1,2019,1,7049.0,110.0,270.0
1001,A1,2019,2,1101.0,270.0,234.0
1001,A1,2019,3,4611.0,234.0,151.0
1001,A1,2019,4,6769.0,151.0,96.0
1001,A1,2019,5,9941.0,99.0,66.0
1001,A1,2019,6,10689.0,66.0,152.0
1001,A1,2019,7,11824.0,152.0,169.0
1001,A1,2019,8,10986.0,169.0,151.0
1001,A1,2019,9,9820.0,151.0,63.0
1001,A1,2019,10,10731.0,63.0,71.0
1001,A1,2019,11,12677.0,77.0,69.0
1001,A1,2019,12,14152.0,69.0,117.0
1001,A1,2020,1,4469.0,117.0,198.0
1001,A1,2020,2,2755.0,198.0,258.0
1001,A1,2020,3,3048.0,261.0,173.0
1001,A1,2020,4,7108.0,173.0,60.0
1001,A1,2020,5,12472.0,63.0,78.0
1001,A1,2020,6,13061.0,78.0,108.0
1001,A1,2020,7,15835.0,106.0,116.0
1001,A1,2020,8,14180.0,116.0,73.0
1001,A1,2020,9,15034.0,73.0,53.0
1001,A1,2020,10,14312.0,53.0,201.0
1001,A1,2020,11,16180.0,52.0,51.0
1001,A1,2020,12,17381.0,51.0,117.0
1002,A2,2018,2,1129.0,142.0,261.0
1002,A2,2018,3,3568.0,261.0,317.0
1002,A2,2018,4,4560.0,317.0,444.0
1002,A2,2018,5,7521.0,444.0,40.0
1002,A2,2018,6,7687.0,40.0,103.0
1002,A2,2018,7,8675.0,103.0,291.0
1002,A2,2018,8,8245.0,291.0,66.0
1002,A2,2018,9,7989.0,66.0,64.0
1002,A2,2018,10,7583.0,64.0,257.0
1002,A2,2018,11,8522.0,257.0,162.0
1002,A2,2018,12,9310.0,162.0,194.0
1002,A2,2019,1,7049.0,194.0,368.0
1002,A2,2019,2,1101.0,368.0,226.0
1002,A2,2019,3,4611.0,226.0,101.0
1002,A2,2019,4,6769.0,101.0,66.0
1002,A2,2019,5,9941.0,56.0,124.0
1002,A2,2019,6,10689.0,124.0,187.0
1002,A2,2019,7,11824.0,187.0,429.0
1002,A2,2019,8,10986.0,429.0,85.0
1002,A2,2019,9,9820.0,85.0,56.0
1002,A2,2019,10,10731.0,56.0,98.0
1002,A2,2019,11,12677.0,98.0,416.0
1002,A2,2019,12,14152.0,416.0,185.0
1002,A2,2020,1,4469.0,185.0,413.0
1002,A2,2020,2,2755.0,413.0,737.0
1002,A2,2020,3,3048.0,735.0,518.0
1002,A2,2020,4,7108.0,518.0,71.0
1002,A2,2020,5,12472.0,72.0,62.0
1002,A2,2020,6,13061.0,62.0,96.0
1002,A2,2020,7,15835.0,94.0,75.0
1002,A2,2020,8,14180.0,75.0,85.0
1002,A2,2020,9,15034.0,85.0,121.0
1002,A2,2020,10,14312.0,121.0,95.0
1002,A2,2020,11,16180.0,102.0,79.0
1002,A2,2020,12,17381.0,79.0,213.0
1003,A1,2018,2,1129.0,54.0,134.0
1003,A1,2018,3,3568.0,134.0,74.0
1003,A1,2018,4,4560.0,74.0,94.0
1003,A1,2018,5,7521.0,94.0,97.0
1003,A1,2018,6,7687.0,97.0,41.0
1003,A1,2018,7,8675.0,41.0,166.0
1003,A1,2018,8,8245.0,166.0,111.0
1003,A1,2018,9,7989.0,111.0,79.0
1003,A1,2018,10,7583.0,79.0,110.0
1003,A1,2018,11,8522.0,85.0,169.0
1003,A1,2018,12,9310.0,169.0,114.0
1003,A1,2019,1,7049.0,114.0,186.0
1003,A1,2019,2,1101.0,186.0,168.0
1003,A1,2019,3,4611.0,168.0,185.0
1003,A1,2019,4,6769.0,185.0,142.0
1003,A1,2019,5,9941.0,183.0,77.0
1003,A1,2019,6,10689.0,77.0,245.0
1003,A1,2019,7,11824.0,245.0,390.0
1003,A1,2019,8,10986.0,390.0,243.0
1003,A1,2019,9,9820.0,243.0,117.0
1003,A1,2019,10,10731.0,117.0,87.0
1003,A1,2019,11,12677.0,87.0,139.0
1003,A1,2019,12,14152.0,139.0,146.0
1003,A1,2020,1,4469.0,146.0,231.0
1003,A1,2020,2,2755.0,231.0,268.0
1003,A1,2020,3,3048.0,309.0,232.0
1003,A1,2020,4,7108.0,232.0,72.0
1003,A1,2020,5,12472.0,90.0,130.0
1003,A1,2020,6,13061.0,130.0,112.0
1003,A1,2020,7,15835.0,117.0,173.0
1003,A1,2020,8,14180.0,173.0,120.0
1003,A1,2020,9,15034.0,120.0,144.0
1003,A1,2020,10,14312.0,144.0,153.0
1003,A1,2020,11,16180.0,158.0,62.0
1003,A1,2020,12,17381.0,62.0,104.0
1004,A2,2018,2,1129.0,111.0,98.0
1004,A2,2018,3,3568.0,98.0,98.0
1004,A2,2018,4,4560.0,98.0,102.0
1004,A2,2018,5,7521.0,102.0,106.0
1004,A2,2018,6,7687.0,106.0,71.0
1004,A2,2018,7,8675.0,71.0,65.0
1004,A2,2018,8,8245.0,65.0,78.0
1004,A2,2018,9,7989.0,78.0,51.0
1004,A2,2018,10,7583.0,51.0,103.0
1004,A2,2018,11,8522.0,97.0,59.0
1004,A2,2018,12,9310.0,59.0,57.0
1004,A2,2019,1,7049.0,57.0,99.0
1004,A2,2019,2,1101.0,99.0,87.0
1004,A2,2019,3,4611.0,87.0,71.0
1004,A2,2019,4,6769.0,71.0,145.0
1004,A2,2019,5,9941.0,72.0,115.0
1004,A2,2019,6,10689.0,115.0,212.0
1004,A2,2019,7,11824.0,212.0,109.0
1004,A2,2019,8,10986.0,109.0,97.0
1004,A2,2019,9,9820.0,97.0,75.0
1004,A2,2019,10,10731.0,75.0,47.0
1004,A2,2019,11,12677.0,47.0,160.0
1004,A2,2019,12,14152.0,160.0,262.0
1004,A2,2020,1,4469.0,262.0,378.0
1004,A2,2020,2,2755.0,378.0,444.0
1004,A2,2020,3,3048.0,460.0,367.0
1004,A2,2020,4,7108.0,367.0,181.0
1004,A2,2020,5,12472.0,144.0,78.0
1004,A2,2020,6,13061.0,80.0,213.0
1004,A2,2020,7,15835.0,183.0,217.0
1004,A2,2020,8,14180.0,164.0,205.0
1004,A2,2020,9,15034.0,205.0,230.0
1004,A2,2020,10,14312.0,230.0,242.0
1004,A2,2020,11,16180.0,96.0,124.0
1004,A2,2020,12,17381.0,124.0,192.0
1005,A1,2018,2,1129.0,102.0,74.0
1005,A1,2018,3,3568.0,74.0,88.0
1005,A1,2018,4,4560.0,88.0,88.0
1005,A1,2018,5,7521.0,88.0,110.0
1005,A1,2018,6,7687.0,110.0,67.0
1005,A1,2018,7,8675.0,67.0,72.0
1005,A1,2018,8,8245.0,72.0,81.0
